DATAFLOW,FREQ,REF_AREA,INDICATOR,COUNTERPART_AREA,TIME_PERIOD,OBS_VALUE,DECIMALS,UNIT_MULT,UNIT_MEASURE
ADB:ARIC_DAF_FIN(1.0),A,CAN,OUT_PORTFOLIO_EQUITY_INVSHARE,TUR,2017,0.1381051987409592,3,0,PCT
ADB:ARIC_DAF_FIN(1.0),A,CHL,IN_PORTFOLIO_DEBT_INVSHARE,AUS,2017,0.115564689040184,3,0,PCT
ADB:ARIC_DAF_FIN(1.0),A,CHL,OUT_PORTFOLIO_EQUITY_INVSHARE,JPN,2017,0.190330445766449,3,0,PCT
ADB:ARIC_DAF_FIN(1.0),A,CHL,OUT_PORTFOLIO_EQUITY_INVSHARE,MEX,2017,0.0906492099165916,3,0,PCT
ADB:ARIC_DAF_FIN(1.0),A,CHL,OUT_PORTFOLIO_DEBT_INVSHARE,TUR,2017,0.0470966212451458,3,0,PCT
ADB:ARIC_DAF_FIN(1.0),A,GEO,IN_PORTFOLIO_EQUITY_INVSHARE,CAN,2017,0.7140763401985168,3,0,PCT
ADB:ARIC_DAF_FIN(1.0),A,GEO,IN_PORTFOLIO_DEBT_INVSHARE,KAZ,2017,0.0948745384812355,3,0,PCT
ADB:ARIC_DAF_FIN(1.0),A,GEO,IN_PORTFOLIO_EQUITY_INVSHARE,PRC,2017,0.0191895682364702,3,0,PCT
ADB:ARIC_DAF_FIN(1.0),A,HKG,OUT_PORTFOLIO_DEBT_INVSHARE,AUS,2017,6.248309135437012,3,0,PCT
ADB:ARIC_DAF_FIN(1.0),A,HKG,IN_PORTFOLIO_DEBT_INVSHARE,CAN,2017,0.1346552073955536,3,0,PCT
ADB:ARIC_DAF_FIN(1.0),A,HKG,OUT_PORTFOLIO_DEBT_INVSHARE,IND,2017,1.300965905189514,3,0,PCT
ADB:ARIC_DAF_FIN(1.0),A,HKG,IN_PORTFOLIO_EQUITY_INVSHARE,JPN,2017,2.85564923286438,3,0,PCT
ADB:ARIC_DAF_FIN(1.0),A,HKG,IN_PORTFOLIO_DEBT_INVSHARE,PRC,2017,25.52220916748047,3,0,PCT
ADB:ARIC_DAF_FIN(1.0),A,HKG,OUT_PORTFOLIO_DEBT_INVSHARE,RUS,2017,0.0089369593188167,3,0,PCT
