DATAFLOW,FREQ,REF_AREA,INDICATOR,COUNTERPART_AREA,TIME_PERIOD,OBS_VALUE,DECIMALS,UNIT_MULT,UNIT_MEASURE
ADB:ARIC_DAF_FDI(1.0),A,SIN,FDI_CC_SHARE_FL,KOR,2004,0.3624613285064697,3,0,PCT
ADB:ARIC_DAF_FDI(1.0),A,SIN,INWARD_GREENFIELD_FLOWS_PCT,MAL,2004,8.7908296585083,3,0,PCT
ADB:ARIC_DAF_FDI(1.0),A,SIN,FDI_CC_SHARE_FL,USA,2004,21.28491020202637,3,0,PCT
ADB:ARIC_DAF_FDI(1.0),A,SOL,FDI_CC_SHARE_BOP,AUS,2004,181.2259368896484,3,0,PCT
ADB:ARIC_DAF_FDI(1.0),A,SRI,FDI_CC_SHARE_BOP,AUS,2004,1.255605340003967,3,0,PCT
ADB:ARIC_DAF_FDI(1.0),A,SRI,FDI_CC_SHARE_BOP,PAK,2004,3.139013528823853,3,0,PCT
ADB:ARIC_DAF_FDI(1.0),A,TAJ,FDI_CC_SHARE_FL,RUS,2004,97.19355773925781,3,0,PCT
ADB:ARIC_DAF_FDI(1.0),A,TAP,FDI_CC_SHARE_BOP,HKG,2004,10.27181243896484,3,0,PCT
ADB:ARIC_DAF_FDI(1.0),A,TAP,FDI_CC_SHARE_FL,NZL,2004,0.2009743303060532,3,0,PCT
ADB:ARIC_DAF_FDI(1.0),A,TAP,INWARD_MA_FLOWS_PCT,SIN,2004,0.1200538128614426,3,0,PCT
ADB:ARIC_DAF_FDI(1.0),A,TAP,FDI_CC_SHARE_BOP,THA,2004,0.2103266716003418,3,0,PCT
ADB:ARIC_DAF_FDI(1.0),A,THA,INWARD_GREENFIELD_FLOWS_PCT,HKG,2004,49.32439422607422,3,0,PCT
ADB:ARIC_DAF_FDI(1.0),A,THA,FDI_CC_SHARE_BOP,INO,2004,0.1004218235611916,3,0,PCT
ADB:ARIC_DAF_FDI(1.0),A,TUR,FDI_CC_SHARE_FL,HKG,2004,0.2950325012207031,3,0,PCT
ADB:ARIC_DAF_FDI(1.0),A,USA,INWARD_GREENFIELD_FLOWS_PCT,CAN,2004,6.013602733612061,3,0,PCT
ADB:ARIC_DAF_FDI(1.0),A,USA,FDI_CC_SHARE_BOP,IND,2004,0.2039373964071274,3,0,PCT
ADB:ARIC_DAF_FDI(1.0),A,USA,FDI_CC_SHARE_BOP,MAL,2004,0.0132522489875555,3,0,PCT
ADB:ARIC_DAF_FDI(1.0),A,USA,INWARD_GREENFIELD_FLOWS_PCT,PRC,2004,0.7193259000778198,3,0,PCT
ADB:ARIC_DAF_FDI(1.0),A,USA,FDI_CC_SHARE_FL,TAP,2004,0.638454794883728,3,0,PCT
ADB:ARIC_DAF_FDI(1.0),A,UZB,FDI_CC_SHARE_BOP,KAZ,2004,0.0368063375353813,3,0,PCT
ADB:ARIC_DAF_FDI(1.0),A,UZB,INWARD_GREENFIELD_FLOWS_PCT,KOR,2004,14.16202831268311,3,0,PCT
ADB:ARIC_DAF_FDI(1.0),A,UZB,FDI_CC_SHARE_FL,PRC,2004,8.391109466552734,3,0,PCT
ADB:ARIC_DAF_FDI(1.0),A,UZB,INWARD_MA_FLOWS_PCT,RUS,2004,60.96701049804688,3,0,PCT
ADB:ARIC_DAF_FDI(1.0),A,UZB,INWARD_GREENFIELD_FLOWS_PCT,USA,2004,7.58606481552124,3,0,PCT
ADB:ARIC_DAF_FDI(1.0),A,VIE,INWARD_MA_FLOWS_PCT,JPN,2004,15.45420551300049,3,0,PCT
ADB:ARIC_DAF_FDI(1.0),A,VIE,FDI_CC_SHARE_BOP,MAL,2004,2.857142925262451,3,0,PCT
ADB:ARIC_DAF_FDI(1.0),A,VIE,FDI_CC_SHARE_FL,PHI,2004,1.153606176376343,3,0,PCT
ADB:ARIC_DAF_FDI(1.0),A,ARM,INWARD_GREENFIELD_FLOWS_PCT,KAZ,2004,38.96976470947266,3,0,PCT
ADB:ARIC_DAF_FDI(1.0),A,ARM,FDI_CC_SHARE_BOP,USA,2004,4.919628620147705,3,0,PCT
ADB:ARIC_DAF_FDI(1.0),A,AUS,FDI_CC_SHARE_FL,JPN,2004,52.11248016357422,3,0,PCT
ADB:ARIC_DAF_FDI(1.0),A,AUS,INWARD_GREENFIELD_FLOWS_PCT,MAL,2004,0.0965129435062408,3,0,PCT
ADB:ARIC_DAF_FDI(1.0),A,BAN,FDI_CC_SHARE_BOP,IND,2004,1.476976633071899,3,0,PCT
ADB:ARIC_DAF_FDI(1.0),A,CHL,INWARD_GREENFIELD_FLOWS_PCT,PER,2004,0.2490866780281067,3,0,PCT
